,No,Response
1,1,"Topic pour parler de la Zoe qui fera partie de la grande famille Zéro Emission (Z.E) et qui inaugure la nouvelle signature stylistiqueCitation :Pour Renault, ZOE représente plus qu'une petite auto propre. C'est à elle qu'incombe la lourde tâche d'inaugurer la nouvelle signature stylistique de la marque.Un an et demi avant qu'elle ne sorte des chaînes de montage de l'usine de Flins, Nice-Matin a eu le privilège de prendre le volant de celle qui sera la toute première citadine 100 % électrique de la marque au Losange.Pour Renault, ZOE représente bien plus qu'une jolie petite auto zéro émission. D'un blanc immaculé, le modèle essayé sur le circuit du CERAM en région parisienne, n'est encore qu'un concept car mais il préfigure fidèlement la future auto de grande série.Son gabarit (4,10 m) se rapproche de celui d'une Clio, mais des lignes de force judicieusement travaillées lui confèrent un caractère qui fait encore défaut aux Renault actuelles. Sur la face avant, fermée pour améliorer l'aérodynamisme, on ne voit que lui ou presque : un magnifique losange hypertrophié et bleuté qui cache la prise de recharge. Dans l'habitacle surligné d'inserts bleu métallisé, c'est la saison du blanc ! À l'avant comme à l'arrière, on ne se sent absolument pas à l'étroit. Belle surprise aussi concernant le volume du coffre (292 dm3), toutes les batteries lithium-ion se cachant dans le plancher.160 km d'autonomiePeu de chance, en revanche, que les équipements de notre Preview se retrouvent en grande série.Le toit panoramique en verre n'aura malheureusement pas sa place non plus dans la ZOE. La chaleur dégagée dans l'habitacle risque d'inciter à forcer sur la climatisation, et donc de réduire l'autonomie de la voiture, proche de 160 km. Au volant, grâce à son moteur électrique de 60 kW (soit 80 ch DIN) ZOE peut délivrer tout son couple dès la première accélération. Et cela, en silence s'il vous plaît ! Ce que ne peut pas faire un petit diesel de puissance équivalente.Avec sa voiture « Zéro émission », Renault veut rendre l'auto électrique aussi accessible et simple d'utilisation que n'importe quel autre véhicule. Pour cette raison, le constructeur dissocie la vente de la voiture (15 000 euros HT, aide gouvernementale de 5 000 euros déduite) et la location des batteries (autour des 70 eurosHT par mois, si l'on parcourt 15 000 km par an). Ainsi, aucune inquiétude à avoir quant à la durée de vie et au recyclage de vos accus.Pour recharger complètement sa ZOE, il suffit de raccorder un câble fourni à sa prise domestique pendant 6 à 8 heures.Comptez, en heures creuses, de 2 à 4 euros la charge complète. Par ailleurs, Renault a signé de nombreux accords avec des chaînes de grande distribution (Leclerc), des sociétés de parking (Vinci) et des collectivités pour installer des bornes de recharge rapide permettant de récupérer 50 km d'autonomie en moins de 10 minutes.Enfin, pour achever de convaincre les plus « électrophobes » des conducteurs, le déploiement des infrastructures de charge devrait atteindre 75 000 bornes en 2015 (Plan Borloo), dont 15 000 de charge rapide."
2,2,"Hello,Perso j'aime bien le concept de la Zoé en tous point de vu et si j'ai les moyens ça seras la deuxième voiture du ménage.Pour les petits trajets quotidien moins de 50 km par jour c'est l'idéal..."
3,3,
4,4,"La Renault Zoé s’expose à Flins : 100 recrutements en vueCitation :Sa production ne sera pas lancée avant l’année prochaine, mais les 3 200 salariés de l’usine Renault de Flins (Yvelines) peuvent déjà admirer les courbes de Zoé, la voiture électrique que le constructeur français commercialisera courant 2012. Le recrutement d’une centaine de techniciens a parallèlement été lancé sur le centre de production francilien, qui assemble également certains modèles de la gamme Clio. Le site devrait assurer, jusqu’en 2015, la production de 100 000 unités de la petite citadine de quatre places d’une autonomie de 160 km. En 2010, Renault a consacré 15 % de ses dépenses R&amp;D au programme « voiture électrique », qui aura nécessité un investissement de 1,3 milliard d’euros. L.H.http://www.usinenouvelle.com/a [...] ue.N151468"
5,5,La zoé a francfort 
6,6,"Bon pour relancer un peu ce topic :    Première révélation ? lors de la présentation du R-Link qui équipera les futures Renault, dont la Zoé, Renault l'a glissée (malencontreusement) sur une vidéo:    Un peu plus près : Apparememnt il s'agit bien de la version ""série"" : Essuies glaces, rétros, toit classique, phares, différents du concept...D'ou un shop perso :Et pour pousser un peu plus, une vision, toujours perso (et un peu moins réussit), de l'intérieur :  "
7,7,"Renault ZOE : le fer de lance de la gamme Zéro Emission de Renault sera dévoilé dès le salon de Genève en version définitive, dont on avait déjà eu un aperçu extrêmement réaliste au Mondial 2010. Sur cette jolie petite auto reposent une bonne partie des espoirs du Losange quant à l'émergence d'un marché de masse pour la voiture particulière électrique.http://www.autonews.fr/News/No [...] _news=true"
8,8,"Après la Clio 4, c'est au tour de la Zoé de prendre l'air... :Elle semble rester fidèle au concept."
9,9,elle a l'air d'une crevette à côté du duster   
10,10,J'ai refait ce shop pour mieux coller à ce proto :On remarque les portes autoclaves contrairement au concept.
